,Record_ID,Data_Type,Formulation_ID,Formulation_Name,Chemical_Name,CASRN,DTXSID,Percent_Active_Ingredient,Concentration,Concentration_Units,Mixture,Species,Reported_Strain,Strain,Sex,Assay,Endpoint,Response,Response_Unit,Reference,SMILES,Preferred_Name,Synonyms,URL_CompTox,URL_CEBS,label
82,skin_irritation_invivo_84,In Vivo,,,Propylene glycol,57-55-6,DTXSID0021206,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CC(O)CO,"1,2-Propylene glycol","57-55-6|1,2-Propylene glycol|(.+-.)-1,2-Propanediol|(.+-.)-Propylene glycol|(+-)-1,2-Propanediol|(+-)-Propylene glycol|(+/-) 1,2-Propanediol|(RS)-1,2-Propanediol|1,2-(RS)-Propanediol|1,2-DIHYDROXYPROPANE|1,2-PROPANDIOL|1,2-Propanediol|1,2-PROPYLENEGLYCOL|1,2-Propylenglykol|2-Hydroxypropanol|2,3-Propanediol|3-01-00-02142|a-Propylene glycol|Adeka PG|Adeka Propylene Glycol PG-P|Aliphatic alcohol|All purpose lubricant|alpha-Propylene glycol|alpha-propyleneglycol|BRN 1340498|Caswell No. 713|CH3CH(OH)CH2OH|Chilisa FE|DL-1,2-Propanediol|dl-Propylene glycol|Dowfrost|EINECS 200-338-0|EPA Pesticide Chemical Code 068603|FEMA No. 2940|General lube|Glycol|HOCH2CH(OH)CH3|HOCH2CH(OH)Me|Ilexan P|Inhibited 1,2-propylene glycol|Isopropylene glycol|MeCH(OH)CH2OH|Methyl ethylene glycol|methyl glycol|Methylethyl glycol|Methylethylene glycol|MONO PROPYLENE GLYCOL|Monopropylene glycol|NSC 69860|POLYESTER OF 1,2-PROPANEDIOL|PPD|Prolugen|Propan-1,2-diol|Propane-1,2-diol|Propanediol|propano-1,2-diol|PROPYLENE GLYCOL|Propylene glycol usp|PROPYLENE, GLYCOL|Propylen|1194046-20-2|190913-75-8|4254-16-4|63625-56-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021206,https://doi.org/10.22427/NTP-DATA-DTXSID0021206,0
100,skin_irritation_invivo_12,In Vivo,,,Heptanal,111-71-7,DTXSID0021597,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCCCCC=O,Heptanal,111-71-7|Heptanal|1-Heptaldehyde|1-Heptanal|Aldehyde C-7|Aldehyde C7|BRN 1560236|EINECS 203-898-4|Enanthal|Enanthaldehyde|Enanthic aldehyde|Enanthole|FEMA 2540|FEMA No. 2540|FEMA Number 2541|heptaldehyde|Heptan-1-al|Heptanaldehyde|Heptyl aldehyde|Heptylaldehyde|N-C6H13CHO|n-Heptaldehyde|N-Heptaldehyde [UN3056] [Flammable liquid]|n-Heptanal|n-Heptylaldehyde|NSC 2190|Oenanthal|OENANTHALDEHYD|Oenanthaldehyde|Oenanthic aldehyde|Oenanthol|Oenanthole|UN 3056|UNII-92N104S3HF,https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021597,https://doi.org/10.22427/NTP-DATA-DTXSID0021597,1
130,skin_irritation_invivo_33,In Vivo,,,Isopropyl myristate,110-27-0,DTXSID0026838,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCC(=O)OC(C)C,Isopropyl tetradecanoate,"110-27-0|Isopropyl tetradecanoate|1-Methylethyl tetradecanoate|1-Tridecanecarboxylic acid, isopropyl ester|203-751-4|Bisomel|BRN 1781127|Caswell No. 511E|Crodacol IPM|Crodamol 1PM|Crodamol I.P.M.|Crodamol IPM|D 50|D 50 (emollient)|Deltyl Extra|Deltylextra|EC No.: 203-751-4|EINECS 203-751-4|Emcol IM|Emcol-IM|Emerest 2314|EPA Pesticide Chemical Code 000207|Estergel|Estergel (TN)|Estol 1512|Estol 1514|Estol IPM 1512|Exceparl IPM|Exceparl IPML|FEMA 3556|FEMA No. 3556|IPM|IPM 100|IPM-EX|IPM-R|Iso-propyl N-tetradecanoate|Isomyst|isopropyl myristate|Isopropyl myristate-PM|Isopropyl tetradecanoic acid|Isopropylmyristat|JA-FA IPM|Kessco IPM|Kessco isopropyl myristate|Kesscomir|Kollicream IPM|Lexol IPM|Liponate IPM|Matlube IPM-S|Methylethyl tetradecanoate|miristato de isopropilo|Myristate d'isopropyle|MYRISTATE, ISOPROPYL|Myristic acid isopropyl ester|Myristic acid, isopropyl ester|MYRISTINSAEURE-ISOPROPYLESTER|Nikkol IPM|Nikkol IPM 100|Nikkol IPM-EX|NSC 406280|Pastell IP 14|Pelemol IPM|Plymoutm IPM|Promyr|Propan-2-yl tetradecanoate|Radia 7190|Radia 77|1405-98-7|852553-53-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026838,,0
132,skin_irritation_invivo_67,In Vivo,,,di-Propylene glycol,25265-71-8,DTXSID0027856,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|",Dipropylene glycol,"25265-71-8|Dipropylene glycol|1,1'-Oxybis(2-propanol)|4-Oxa-2,6-heptandiol|ADK DPG-RF|Caswell No. 399E|DIPROPYLENEGLYCOL|DIPROPYLENGLYKOL|Dowanol DPG|EINECS 246-770-3|EPA Pesticide Chemical Code 068604|oxidipropanol|Oxybispropanol|Oxydipropanol|Propanol, oxybis-|UNII-E107L85C40|25322-23-0|27941-90-8|27941-91-9|28678-26-4|30370-61-7|75047-14-2|78644-49-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027856,https://doi.org/10.22427/NTP-DATA-DTXSID0027856,0
146,skin_irritation_invivo_63,In Vivo,,,Sodium hydroxide,1310-73-2,DTXSID0029634,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant/Possible corrosive,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[OH-].[Na+],Sodium hydroxide,"1310-73-2|Sodium hydroxide|Aetznatron|ANHYDROUS|ASCARITE|Caswell No. 773|CAUSTIC SODA|CAUSTIC SODA FLAKES|Caustic soda, liquid|Collo-Grillrein|Collo-Tapetta|EINECS 215-185-5|EPA Pesticide Chemical Code 075603|Fuers Rohr|hidroxido de sodio|Hydroxyde de sodium|Lewis-red devil lye|Liquid-plumr|Na(OH)|NaOH|Natrium causticum|Natrium-hydroxid, reinstes|Natriumhydroxid|Natriumhydroxyde|NATRONLAUGE 1-5%|NATRONLAUGE UEBER 5%|NSC 135799|Rohrputz|Rohrreiniger Rofix|Soda lye|Soda, caustic|Soda, hydrate|Soda, kaustische|Sodio(idrossido di)|SODIUM HYDRATE|Sodium hydroxide (Na(OH))|Sodium Hydroxide AR (1KG/BT)|Sodium hydroxide dimer|Sodium hydroxide,|Sodium(hydroxyde de)|soude caustique|StamperPrep|Tosoh Pearl|UN 1823|UN 1824|UNII-55X04QC32I|White caustic|8012-01-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0029634,,1
229,skin_irritation_invivo_51,In Vivo,,,4-Methylthio benzaldehyde,3446-89-7,DTXSID0033047,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CSC1=CC=C(C=O)C=C1,4-(Methylthio)benzaldehyde,"3446-89-7|4-(Methylthio)benzaldehyde|Benzaldehyde, 4-(methylthio)-|EINECS 222-365-7|942039-57-8",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0033047,,0
280,skin_irritation_invivo_15,In Vivo,,,Heptyl butyrate,5870-93-9,DTXSID0042038,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCOC(=O)CCC,Heptyl butyrate,"5870-93-9|Heptyl butyrate|BRN 1760253|Butanoic acid, heptyl ester|Butyric acid, heptyl ester|EINECS 227-526-5|FEMA No. 2549|Heptyl butanoate|Heptyl butyrate|UNII-6YF38H29F1",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0042038,,0
282,skin_irritation_invivo_27,In Vivo,,,Hydroxycitronellal,89-43-0,DTXSID0044579,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,COC(=O)C1=C(C=CC=C1)N=CCC(C)CCCC(C)(C)O,"Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate","89-43-0|Methyl 2-((7-hydroxy-3,7-dimethyloctylidene)amino)benzoate|201-908-1|Anthranilic acid, N-(7-hydroxy-3,7-dimethyloctylidene)-, methyl ester|Aurantine|Aurantiol|Aurantion|Aurantium|Benzoic acid, 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-, methyl ester|EC No.: 201-908-1|EINECS 201-908-1|Hydroxycitronellal / methyl anthranilate|Hydroxycitronellal methyl anthranilate|Hydroxycitronellylidene methyl anthranilate|Methyl 2-[(7-hydroxy-3,7-dimethyloctylidene)amino]benzoate|Methyl N-3,7-dimethyl-7-hydroxyoctylideneanthranilate|NSC 78483|61792-01-6",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0044579,,0
284,skin_irritation_invivo_47,In Vivo,,,Methyl caproate,106-70-7,DTXSID0047616,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCC(=O)OC,Methyl hexanoate,"106-70-7|Methyl hexanoate|BRN 1744683|Caproic acid methyl ester|Caproic acid, methyl ester|EINECS 203-425-1|FEMA 2708|FEMA No. 2708|Hexanoate de methyle|HEXANOATE, METHYL|hexanoato de metilo|Hexanoic acid methyl ester|Hexanoic acid, methyl ester|Hexanoic acid,methyl ester|Methyl caproate|Methyl capronate|Methyl ester of hexanoic acid|Methyl hexoate|Methyl hexylate|Methyl n-hexanoate|Methyl N-hexoate|Methylhexanoat|N-Caproic acid methyl ester|NSC 5023|UNII-246364VPJS",https://comptox.epa.gov/dashboard/chemical/details/DTXSID0047616,,0
305,skin_irritation_invivo_41,In Vivo,,,1-(2-Isopropylphenyl)-1-phenyle- thane (Mixture of isomers),191044-60-7,DTXSID00889094,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(C)C1=CC=CC=C1C(C)C1=CC=CC=C1,"Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-","191044-60-7|Benzene, 1-(1-methylethyl)-2-(1-phenylethyl)-",https://comptox.epa.gov/dashboard/chemical/details/DTXSID00889094,,0
399,skin_irritation_invivo_34,In Vivo,,,Benzyl salicylate,118-58-1,DTXSID1024598,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,Benzyl salicylate,"118-58-1|Benzyl salicylate|204-262-9|4-10-00-00157|Benzoic acid, 2-hydroxy-, phenylmethyl ester|Benzyl 2-hydroxybenzoate|Benzyl o-hydroxybenzoate|BRN 2115365|EC No.: 204-262-9|EINECS 204-262-9|FEMA No. 2151|NSC 6647|Salicyclic acid, benzyl ester|Salicylsaeurebenzylester|UNII-WAO5MNK9TU",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1024598,https://doi.org/10.22427/NTP-DATA-DTXSID1024598,0
412,skin_irritation_invivo_61,In Vivo,,,Sodium dodecyl sulphate,151-21-3,DTXSID1026031,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified/Possible irritant,Unitless,Robinson et al. 2001; 11422260; 10.1034/j.1600-0536.2001.045001001.x,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Sodium dodecyl sulfate,"151-21-3|Sodium dodecyl sulfate|1-Dodecanol,hydrogen sulfate,sodium salt|Adeka Hope LS 35|Adeka Hope LS 90|Akyposal NLS|Akyposal SDS|Alscoap LN 40A|Alscoap LN 90|Alscoap LN-140|Alscoap MP 90N|Alscoap SP 40|Alscoap-LN 90P|Anticerumen|Aquarex Me|Aquarex methyl|Avirol SL 2010|Bio-Soft SDBS 60|Calfoam ES 303|Calfoam SLS 30|Carsonol SLS|Carsonol SLS Paste B|Carsonol SLS Special|Carsonol SLS-S|Caswell No. 779|Colonial SLS|Conco sulfate WA|Conco sulfate WA-1200|Conco sulfate WA-1245|Conco Sulfate WAG|Conco Sulfate WAN|Conco Sulfate WAS|Conco sulfate WN|Cycloryl 21|Cycloryl 21LS|Cycloryl 31|Cycloryl 580|Cycloryl 585N|Dehydag Sulfate GL|Dehydag sulfate GL emulsion|Dehydag sulphate GL emulsion|Dehydrag sulfate gl emulsion|Dermacide|Detergent 66|Dodecyl alcohol, hydrogen sulfate, sodium salt|DODECYL HYDROGEN SULFATE SODIUM SALT|DODECYL HYDROGENSULFATE SODIUM SALT|Dodecyl sodium sulfate|Dodecyl sulfate sodium|DODECYL SULFATE SODIUM SALT|DODECYL SULFATE, SODIUM|Dodecyl sulfate, sodium salt|Dupanol WAQ|Duponal|Duponal WAQE|Duponol|Duponol C|Duponol ME|Du|1000201-72-8|1000201-73-9|111726-87-5|121481-64-9|12738-53-3|12765-21-8|129203-37-8|1334-67-4|1335-72-4|145269-44-9|152155-52-7|156108-01-9|172826-72-1|1883428-81-6|191490-40-1|210297-21-5|2326507-32-6|237743-45-2|303179-49-9|39384-36-6|51222-39-0|57176-54-2|58640-35-0|61711-39-5|64441-33-4|74433-77-5|8012-56-4|8048-56-4|877454-24-5|952055-37-7|952092-90-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026031,https://doi.org/10.22427/NTP-DATA-DTXSID1026031,1
426,skin_irritation_invivo_87,In Vivo,,,Sodium carbonate,497-19-8,DTXSID1029621,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,[Na+].[Na+].[O-]C([O-])=O,Carbonic acid sodium salt (1:2),"497-19-8|Carbonic acid sodium salt (1:2)|Bisodium carbonate|Calcined soda|Carbonate de sodium|carbonato de sodio|Carbonic acid disodium salt|Carbonic acid sodium salt|Carbonic acid sodium salt (1:2)|Caswell N0 752|Dense Ash|Disodium carbonate|Disodium carbonate (Na2CO3)|Dynamar 5251Q|Dynamar L 13890|Dynamar RC 5251Q|EINECS 207-838-8|EPA Pesticide Chemical Code 073506|Light Ash|Lime ash|Na-X|Na2CO3|Natrium Carbonicum Calcinatum|Natrium Carbonicum Siccatum|NSC 156204|Snowlite 1|Snowlite I|Soda|Soda ash|Soda Ash Dense|Soda Ash Light|Soda Light|Soda, calcined|Sodium carbonate|Sodium carbonate (2:1)|Sodium carbonate (Na2(CO3))|Sodium carbonate, anhydrous|Suprapur 6395|UNII-45P3261C7T|V Soda|Washing soda|1314087-39-2|1332-57-6|1977561-09-3|7542-12-3",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1029621,,0
489,skin_irritation_invivo_36,In Vivo,,,1-Bromo-4-chlorobutane,6940-78-9,DTXSID1049350,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,ClCCCCBr,1-Bromo-4-chlorobutane,"6940-78-9|1-Bromo-4-chlorobutane|1-Chloro-4-bromobutane|4-Bromo-1-chlorobutane|Butane, 1-bromo-4-chloro-|EINECS 230-089-3|NSC 60193|Tetramethylene chlorobromide",https://comptox.epa.gov/dashboard/chemical/details/DTXSID1049350,,0
530,skin_irritation_invivo_14,In Vivo,,,Heptanoic acid,111-14-8,DTXSID2021600,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCC(O)=O,Heptanoic acid,"111-14-8|Heptanoic acid|1-Hexanecarboxylate|1-Hexanecarboxylic acid|4-02-00-00958|Acide heptanoique|acido heptanoico|Artec ultra conditioning teat dip|BRN 1744723|EINECS 203-838-7|Enanthate|Enanthic acid|Enanthylate|Enanthylic acid|FEMA No. 3348|Heptanoate|Heptansaure|Heptoate|Heptoic acid|Heptylate|Heptylic acid|Hexacid C-7|N-Heptanoate|n-Heptanoic acid|N-Heptoate|n-Heptoic acid|N-Heptylate|n-Heptylic acid|NSC 2192|Oenanthate|Oenanthic acid|OENANTHIC-ACID, C7|Oenanthylate|Oenanthylic acid|UNII-THE3YNP39D|2243153-85-5",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021600,https://doi.org/10.22427/NTP-DATA-DTXSID2021600,1
533,skin_irritation_invivo_17,In Vivo,,,Hexadecanoic acid,57-10-3,DTXSID2021602,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCCCCCCCCCC(O)=O,Hexadecanoic acid,"57-10-3|Hexadecanoic acid|1-hexyldecanoic acid|1-Pentadecanecarboxylic acid|16:00|4-02-00-01157|Acide palmitique|acido palmitico, puro|BRN 0607489|C16|C16 fatty acid|C16:0|Cetylic acid|CH3-[CH2]14-COOH|Edenor C16|EINECS 200-312-9|Emersol 140|Emersol 143|FEMA No. 2832|Glycon P-45|Hexadecanoate|Hexadecanoic acid|Hexadecanoic acid palmitic acid|Hexadecoate|hexadecoic acid|Hexadecylic acid|Hexaectylic acid|Hydrofol|Hydrofol Acid 1690|Hystrene 8016|Hystrene 9016|Industrene 4516|Kortacid 1695|Kortacid 1698|Loxiol EP 278|Lunac P 95|Lunac P 95KC|Lunac P 98|N-Hexadecanoate|n-Hexadecanoic acid|N-Hexadecoate|n-Hexadecoic acid|NSC 5030|Palmitate|Palmitic acid|Palmitic acid 95%|Palmitinate|Palmitinic acid|PALMITINSAEURE|Palmitinsaure|Palmitoate|Palmitoic acid|PAM|Pentadecanecarboxylate|Pentadecanecarboxylic acid|PLM|Prifac 2960|Prifrac 2960|Pristerene 4934|UNII-2V16EO95H1|Univol U332|116860-99-2|212625-86-0|60605-23-4|66321-94-6",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021602,,0
535,skin_irritation_invivo_5,In Vivo,,,Dimethylsulfoxide,67-68-5,DTXSID2021735,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CS(C)=O,Dimethyl sulfoxide,"67-68-5|Dimethyl sulfoxide|(CH3)2SO|(methylsulfinyl)methane|Caswell No. 381|Demasorb|Demavet|Demsodrox|Dimethyl sulfoxixde|dimethyl sulfur oxide|Dimethyl Sulphoxide|Dimethyl sulpoxide|Dimethyli sulfoxidum|Dimethylsulfoxid|DIMETHYLSULFOXIDE|Dimethylsulfoxyde|dimetil sulfoxido|Dimetilsolfossido|Dimexide|Dimexidum|Dipirartril-tropico|DMSO|Dolicur|Doligur|Dromisol|Durasorb|EINECS 200-664-3|EPA Pesticide Chemical Code 000177|Infiltrina|Methane, 1,1'-sulfinylbis-|Methane, sulfinylbis-|methanesulfinylmethane|Methyl sulfoxide|Methyl sulphoxide|Methylsulfinylmethane|NSC 763|NSC-763|S(O)Me2|Sclerosol|Somipront|sulfinylbis(methane)|Sulfinylbismethane|SULFOXIDE, DIMETHYL|Syntexan|UNII-YOW8V9698H|164071-41-4|705301-21-9|8070-53-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021735,https://doi.org/10.22427/NTP-DATA-DTXSID2021735,1
539,skin_irritation_invivo_64,In Vivo,,,di-n-Propyl disulfide,629-19-6,DTXSID2022096,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCSSCCC,Dipropyl disulfide,"629-19-6|Dipropyl disulfide|4,5-Dithiaoctane|Di-n-propyl disulfide|Disulfide, dipropyl|EINECS 211-079-8|FEMA 3228|FEMA No. 3228|NSC 75122|Propyl disulfide|Propyldithiopropane|UNII-I7K169J70F",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2022096,,0
541,skin_irritation_invivo_79,In Vivo,,,Tris(hydroxymethyl)aminomethane,77-86-1,DTXSID2023723,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,NC(CO)(CO)CO,Tromethamine,"77-86-1|Tromethamine|[2-Hydroxy-1,1-bis(hydroxymethyl)ethyl]amine|1,1,1-tris(hydroxymethyl)methanamine|1,3-Propanediol, 2-amino-2-(hydroxymethyl)-|2-(Hydroxymethyl)-2-amino-1,3-propanediol|2-Amino-1,3-dihydroxy-2-(hydroxymethyl)propane|2-AMINO-2-(HYDROXYMETHYL)-1,3-PROPANDIOL|2-Amino-2-(hydroxymethyl)-1,3-propanediol|2-Amino-2-(hydroxymethyl)propane-1,3-diol|2-Amino-2-hydroxymethyl-1, 3-propanediol|2-amino-2-hydroxymethyl-1,3-propanediol|2-Amino-2-hydroxymethylpropan-1,3-diol|2-Amino-2-methylol-1,3-propanediol|Addex-Tham|Aminotri(hydroxymethyl)methane|Aminotrimethylolmethane|Aminotris(hydroxymethyl)methane|Apiroserum Tham|Caswell No. 036|EINECS 201-064-4|EPA Pesticide Chemical Code 083901|Methanamine, 1,1,1-tris(hydroxymethyl)-|Methylamine, 1,1,1-tris(hydroxymethyl)-|NSC 103026|NSC 6365|NSC 65434|Pehanorm|PROPANE-1,3-DIOL, 2-AMINO-2-(HYDROXYMETHYL)-|Talatrol|THAM|Tri Amino|Tri(hydroxymethyl)methylamine|Trigmo base|TRIHYDROXYMETHYLAMINOMETHANE|Triladyl|Trimethylolaminomethane|TRIS|Tris Amino|Tris Amino Crystal|Tris base|TRIS BUFFE|108195-86-4|1158650-64-6|119320-15-9|25149-07-9|68755-45-3|83147-39-1|857365-23-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2023723,,0
547,skin_irritation_invivo_74,In Vivo,,,Terpinyl acetate,80-26-2,DTXSID2026496,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Not classified,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CC(=O)OC(C)(C)C1CCC(C)=CC1,alpha-Terpinyl acetate,"80-26-2|alpha-Terpinyl acetate|(.+-.)-a-Terpineol acetate|(.+-.)-a-Terpinyl acetate|2-(4-Methyl-3-cyclohexen-1-yl)-2-propyl acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-, acetate|3-Cyclohexene-1-methanol, alpha,alpha,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, 1-acetate|3-Cyclohexene-1-methanol, a,a,4-trimethyl-, acetate|4-06-00-00253|a-Terpineol acetate|Acetate de p-menth-1-en-8-yle|acetate de p-menth-1-ene-8-yle|ACETATE, a, a, 4-TRIMETHYL-CYCLOHEX-3-ENE-1-METHYL|acetato de p-ment-1-en-8-ilo|alpha-Terpineol, acetate|alpha,alpha,4-Trimethyl-3-cyclohexene-1-methyl acetate|BRN 3198769|EINECS 201-265-7|EINECS 234-183-5|FEMA 3047|FEMA No. 3047|p-Menth-1-en-8-ol, acetate|p-menth-1-en-8-yl acetate|p-Menth-1-en-8-ylacetat|TERPINYL ACETATE|UNII-9RXE0I9F2J|a-Terpineol acetate|a-Terpinyl acetate|a,a,4-trimethyl-3-cyclohexene-1-methanol acetate|104806-93-1|10581-37-0|21090-64-2",https://comptox.epa.gov/dashboard/chemical/details/DTXSID2026496,,0
717,skin_irritation_invivo_54,In Vivo,,,Nonanoic acid,112-05-0,DTXSID3021641,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Jirova et al. 2010; 20136894; 10.1111/j.1600-0536.2009.01640.x,CCCCCCCCC(O)=O,Nonanoic acid,"112-05-0|Nonanoic acid|1-Nonanoate|1-nonanoic acid|1-Octanecarboxyic acid|1-Octanecarboxylate|1-Octanecarboxylic acid|4-02-00-01018|Acide nonanoique|acido nonanoico|BRN 1752351|CH3-[CH2]7-COOH|Cirrasol 185a|EINECS 203-931-2|Emery 1202|Emery'S L-114|Emfac 1202|EPA Pesticide Chemical Code 217500|FEMA No. 2784|Grantrico|Hexacid C-9|N-Nonanoate|N-NONANOIC ACID|N-Nonoate|n-Nonoic acid|N-Nonylate|n-Nonylic acid|N-Pelargonate|n-Pelargonic acid|Nonanoate|Nonansaeure|Nonansaure|Nonoate|Nonoic acid|Nonylate|Nonylic acid|NSC 62787|NSC 65450|NSC 65455|Pelargate|Pelargic acid|pelargon|Pelargonate|Pelargonic acid|PELARGONIC-ACID, C9|PELARGONSAEURE|Pergonate|Pergonic acid|UNII-97SEH7577T",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021641,https://doi.org/10.22427/NTP-DATA-DTXSID3021641,1
722,skin_irritation_invivo_58,In Vivo,,,Octanoic acid,124-07-2,DTXSID3021645,,,,Chemical,Human,,,,Four-hour Human Patch Test,Qualitative classification,Irritant,Unitless,Basketter et al. 2004; 15291823; 10.1111/j.0105-1873.2004.00385.x,CCCCCCCC(O)=O,Octanoic acid,"124-07-2|Octanoic acid|1-Heptanecarboxylate|1-Heptanecarboxylic acid|4-02-00-00982|8:0|Acide octanoique|acido octanoico|Acidum octanocium|BRN 1747180|C8:0|Caprylate|Caprylic acid|CAPRYLIC-ACID, NATURAL|CAPRYLSAEURE|CH3-[CH2]6-COOH|Edenor C 8-98-100|EINECS 204-677-5|Emery 657|Enantic acid|FEMA No. 2799|Hexacid 898|Kaprylsaeure|Kortacid 0899|Kyselina kaprylova|Lunac 8-95|Lunac 8-98|N-Caprylate|n-Caprylic acid|N-Octanoate|n-Octanoic acid|N-Octoate|n-Octoic acid|N-Octylate|n-Octylic acid|Neo-Fat 8|Neo-Fat 8S|NSC 5024|Octansaeure|Octansaure|Octic acid|octoic acid|Octylate|Octylic acid|Prifac 2901|UNII-OBL58JN025|2171005-29-9",https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021645,https://doi.org/10.22427/NTP-DATA-DTXSID3021645,1
